province,year_2018,year_2017,year_2016,year_2015,year_2014,year_2013
北京市,18261.2,18385.7,12026.7,10530.5,9012.4,7467.6
天津市,3106,2629.4,3035,3148.6,1946.5,1053.7
河北省,2556.1,2441.1,2416.1,1440,1629.7,1166
山西省,2450.2,864.3,680.3,676.7,506.9,315.3
内蒙古,1948.6,1725.5,1587.6,1340.1,392,212.7
辽宁省,3638.4,2601.5,2125.1,2541,1720.2,1327.6
吉林省,553.1,538,504.7,515.9,545.2,159.6
黑龙江省,593.3,673.7,299.3,515.9,210.8,364.4
上海市,17412,15342.3,16037.7,12879.4,12437,4422.6
江苏省,8659.9,6576.6,5351.9,5193.5,6234.6,7173.1
浙江省,8846.5,6831.3,6846.8,5581.2,4764.1,4305.2
安徽省,4864.4,3299.5,2894.7,2444.3,2108.4,1355.1
福建省,3481,2872.8,2399.3,2325.2,2098.9,1710.5
江西省,2817.9,2871,2288.1,1990,983.3,739.5
山东省,15992.2,13893,9890.2,5989.2,5029.2,4111.4
河南省,5183.9,4407.4,4135.3,3639.3,2830.4,1831.8
湖北省,4051.4,4411.3,2741,2386.6,2276,1843.1
湖南省,3127.5,2682.7,2227.5,2221.4,1918.8,1364.9
广东省,27829.9,23191.5,17595.1,13783.7,12992.6,10279.1
广西,1168.2,971,970.9,918.8,701.5,544.5
海南省,689.5,563.9,526,574.2,364.4,177.2
重庆市,4186.8,3572.2,3210.2,2648.5,2302.1,999.8
四川省,4219.2,3687.8,2381.2,1848.4,1562.9,925.9
贵州省,1612.1,1434.3,1518.7,1018.8,860.5,667.5
云南省,1443.1,1329.4,1249.7,2828.4,2461.1,1182.3
西藏,119.3,77.6,73.1,31.4,40.2,33.8
陕西省,1820.3,1213.7,1047.5,925.4,824.5,552.1
甘肃省,506.4,412.6,325,321.1,340.2,225.1
青海省,168,133,441.7,643.7,60.4,35.3
宁夏,267.1,249.5,169.2,111.7,127.8,86.3
新疆,850.9,597,326.2,711.2,375.4,50.6
