province,year_2016,year_2015,year_2014,year_2013,year_2012,year_2011,year_2010
北京市,77.8,76.5,75.3,75.2,72.2,70.3,69.4
天津市,64.6,63,61.4,61.3,58.5,55.6,52.7
河北省,53.3,50.5,49.1,46.5,41.5,36.1,31.2
山西省,55.5,54.2,50.6,48.6,44.2,39.3,36.5
内蒙古,52.2,50.3,45.7,43.9,38.9,34.6,30.8
辽宁省,62.6,62.2,58.8,55.9,50.2,47.8,44.4
吉林省,50.9,47.7,45.2,42.3,38.6,35.2,32.2
黑龙江省,48.1,44.5,41.7,39.5,34.7,31.5,29.5
上海市,74.1,73.1,71.1,70.7,68.4,66.2,64.5
江苏省,56.6,55.5,53.8,51.7,50,46.8,42.8
浙江省,65.6,65.3,62.9,60.8,59,56.1,53.8
安徽省,44.3,39.4,36.9,35.9,31.3,26.6,22.7
福建省,69.7,69.6,65.5,64.1,61.3,57,50.9
江西省,44.6,38.7,34.1,32.6,28.5,24.4,20.2
山东省,52.9,48.9,47.6,44.7,40.1,37.8,35.2
河南省,43.4,39.2,36.9,34.9,30.4,27.5,25.5
湖北省,51.4,46.8,45.3,43.1,40.1,37.2,33.3
湖南省,44.4,39.9,38.6,36.3,33.3,29.5,27.3
广东省,74,72.4,68.5,66,63.1,60.4,55.3
广西,46.1,42.8,39.4,37.9,34.2,29.4,25.2
海南省,51.6,51.6,47.6,46.4,43.7,38.9,35.1
重庆市,51.6,48.3,45.7,43.9,40.9,37,34.6
四川省,43.6,40,37.3,35.1,31.8,27.7,24.4
贵州省,43.2,38.4,34.9,32.9,28.6,24.2,19.8
云南省,39.9,37.4,35.1,32.8,28.5,24.8,22.3
西藏,46.1,44.6,39.4,37.4,33.3,29.9,27.9
陕西省,52.4,50,46.4,45,41.5,38.3,34.3
甘肃省,42.4,38.8,36.8,34.7,31,27.4,24.8
青海省,54.5,54.5,50,47.8,41.9,36.9,33.6
宁夏,50.7,49.3,45.1,43.7,40.3,32.8,28
新疆,54.9,54.9,50.3,49,43.6,40.4,37.9
